#,,base_ranges,,,,,cevent_inhand_child,,,,,,,,,cevent_eye_roi_child,,,,,,,,,,,,cont_vision_size_obj#_child,
#,,,,,,,individual_prop_by_cat,,,individual_mean_dur_by_cat,,,individual_freq_by_cat,,,individual_prop_by_cat,,,,individual_mean_dur_by_cat,,,,individual_freq_by_cat,,,,individual_mean,individual_median
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#subID,expID,onset,offset,category,trialsID,instanceID,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-all,cat-all
3209,32,30,161.16,1,1,1,0.89545,0.015263,0.34113,6.5251,1.001,4.4745,8.2339,0.91488,4.5744,0.25617,0.094124,0.44009,0.063851,3.0546,2.0576,5.7724,1.675,5.0318,2.7446,4.5744,2.2872,4.8132,5.1767
3209,32,174.88,267.54,2,2,2,0.78538,0.62585,0.15592,6.0644,14.498,4.8159,7.7704,2.5901,1.9426,0.33525,0.26467,0.11883,0.23407,4.4378,2.4524,3.6703,1.9717,4.5327,6.4753,1.9426,7.1229,4.5231,4.6061
3209,32,276.01,373.98,3,3,3,0.023842,0.9622,0.17371,1.1678,47.131,0.89563,1.2249,1.2249,11.637,0.12057,0.066076,0.3784,0.061648,1.4765,2.1577,3.707,1.5098,4.8997,1.8374,6.1247,2.4499,3.4336,3.6885
3209,32,380.38,473.71,4,4,4,0.27243,0.059707,0.053629,6.3564,0.92871,1.001,2.5716,3.8574,3.2145,0.24777,0.21558,0.19592,0.14337,3.3033,2.8742,3.657,1.338,4.5003,4.5003,3.2145,6.429,2.0891,2.2944
3210,32,30,147.82,1,1,1,0.43359,1.1345,0.071651,8.5141,19.095,1.6884,3.0556,3.5648,2.5463,0,0,0,0,0,0,0,0,0,0,0,0,1.7011,1.4668
3210,32,153.49,256.89,2,2,2,0.30236,0.50629,0.1423,10.422,52.352,4.9049,1.7408,0.58025,1.7408,0,0,0,0,0,0,0,0,0,0,0,0,2.107,2.0301
3210,32,261.7,361.5,3,3,3,0.81545,1.0267,0.019726,27.127,25.617,1.9686,1.8036,2.4048,0.6012,0,0,0,0,0,0,0,0,0,0,0,0,0.96139,0.56983
3210,32,367.44,467.74,4,4,4,0.16933,0.2006,0.97505,8.4918,2.8743,13.971,1.1964,4.1874,4.1874,0,0,0,0,0,0,0,0,0,0,0,0,1.2213,0.93924
3211,32,30,134.5,1,1,1,1.0971,0,0.63665,16.378,0,11.089,4.019,0,3.4448,0.31673,0.071839,0.38474,0.077267,2.0687,0.93844,2.6805,1.6149,9.1862,4.5931,8.6121,2.8707,3.3726,3.4169
3211,32,142.68,235.77,2,2,2,0.25627,0.55197,0.33943,2.9821,5.1385,4.5141,5.1561,6.4452,4.5116,0.18387,0.3509,0.17814,0.010753,1.3167,1.6333,1.5076,0.33367,8.3787,12.89,7.0897,1.9335,2.1165,2.0046
3211,32,244.91,337.14,3,3,3,1.063,0.092979,0.25145,24.508,2.1438,0.82821,2.6023,2.6023,18.216,0.18017,0.10383,0.48553,0.058249,1.3847,3.1921,3.7315,1.0744,7.8069,1.9517,7.8069,3.2529,2.8259,2.7382
3211,32,368.71,455.56,4,4,4,0.033423,0.33922,0.39762,2.9029,5.8926,4.9335,0.69082,3.4541,4.8357,0.11832,0.18594,0.20937,0.16366,2.0554,2.0186,2.0205,1.7768,3.4541,5.5265,6.2174,5.5265,1.5011,1.4703
3212,32,30,111.28,1,1,1,0.75616,0.016831,0.076355,12.292,1.368,1.2412,3.6909,0.73818,3.6909,0.094417,0.024631,0.33498,0.17816,1.9186,2.002,2.2689,2.8962,2.9527,0.73818,8.8581,3.6909,4.3554,4.2512
3212,32,149.25,245.82,2,2,2,0.035591,0.30131,0.032483,1.7184,4.8493,3.1367,1.2427,3.7281,0.62135,0.16102,0.41707,0.06358,0.12232,1.2957,1.9178,0.51162,1.3124,7.4563,13.048,7.4563,5.5922,2.9457,3.0031
3212,32,253.49,338.91,3,3,3,0.3,0,0.041797,5.1251,0,1.7851,3.5121,0,1.4048,0.28437,0.017187,0.22031,0.20117,2.2083,0.73407,1.8819,2.4548,7.7266,1.4048,7.0242,4.917,2.5784,2.5953
3212,32,363.7,460.3,4,4,4,0,0.2487,0.048705,0,4.004,0.78412,0,3.7268,3.7268,0.084629,0.23799,0.17478,0.11468,1.1678,2.5544,1.5349,1.8463,4.348,5.5903,6.8325,3.7268,2.2084,2.3086
3213,32,30,146.98,1,1,1,0.53651,0.073588,0.53024,3.6919,1.7217,2.2153,8.7192,2.5645,14.361,0.22019,0.15488,0.38192,0.15374,1.5152,1.1324,1.7871,1.0579,8.7192,8.2063,12.822,8.7192,3.4732,3.1204
3213,32,153.52,250.85,2,2,2,0,0.72266,0.44772,0,3.3494,3.6314,0,12.946,7.3975,0.067192,0.5204,0.26705,0.10147,0.65399,4.2209,1.8566,1.0974,6.1646,7.3975,8.6304,5.5481,3.2632,3.1833
3213,32,258.26,379.32,3,3,3,0.11218,0,0.2398,13.58,0,2.639,0.49564,0,5.4521,0.129,0.051819,0.19873,0.14167,1.1154,0.78412,3.0072,1.225,6.939,3.9652,3.9652,6.939,2.7507,2.4813
3213,32,388.89,481.18,4,4,4,0,0.10882,0.85647,0,10.043,26.349,0,0.65011,1.9503,0.014461,0.28525,0.11027,0.18076,0.66733,2.6326,2.5442,1.5166,1.3002,6.5011,2.6004,7.1512,2.3784,2.363
3214,32,30,142.98,1,1,1,0.064973,0.26669,0.1267,3.6703,3.7663,1.5905,1.0621,4.2486,4.7796,0.23302,0.10927,0.11784,0.094211,2.3933,1.7637,3.3283,1.0644,5.8418,3.7175,2.1243,5.3107,2.1204,2.0808
3214,32,151.42,233.04,2,2,2,0,0.44399,0.4861,0,2.4157,3.3061,0,11.027,8.8219,0.035568,0.42068,0.16271,0.17457,1.4515,2.8612,1.8971,1.5831,1.4703,8.8219,5.1461,6.6164,2.7137,2.7795
3214,32,267.7,316.95,3,3,3,0.096883,0.020325,0,2.3857,0.5005,0,2.4366,2.4366,0,0.15786,0.069106,0.064363,0.25609,1.9436,0.85085,3.1698,1.8018,4.8732,4.8732,1.2183,8.528,2.5537,2.6819
3214,32,326.3,335.87,4,4,4,0,0,0,0,0,0,0,0,0,0,0.45296,0,0,0,4.3377,0,0,0,6.2655,0,0,0.85711,0.87963
3215,32,30,139.31,1,1,1,0.076007,0.13614,0.47711,1.6617,2.4803,2.8973,2.7445,3.2934,9.8802,0.15995,0.14621,0.384,0.15873,1.1656,1.453,2.0988,1.1567,8.2335,6.0379,10.978,8.2335,3.104,3.2018
3215,32,144.55,245.75,2,2,2,0.25849,0.1609,0.052423,3.27,4.0707,1.7684,4.743,2.3715,1.7786,0.33004,0.2242,0.17046,0.17178,2.5692,3.2413,2.1563,1.3372,7.7074,4.1501,4.743,7.7074,2.878,2.7323
3215,32,256.66,353.12,3,3,3,0.16465,0.38464,0.36216,3.9706,9.2759,4.3669,2.488,2.488,4.976,0.13594,0.038739,0.32999,0.3926,1.6391,0.62281,2.4486,3.4428,4.976,3.732,8.086,6.842,3.3879,3.3831
3215,32,361.93,457.29,4,4,4,0.047236,0.63436,0.052484,2.2523,5.4994,5.005,1.2584,6.921,0.62918,0.1508,0.27782,0.021344,0.25122,1.4381,2.0379,1.0177,1.7112,6.2918,8.1794,1.2584,8.8085,1.8718,1.9136
3216,32,30,124.03,1,1,1,0.22747,0.26544,0.2555,5.347,4.1597,3.003,2.5524,3.8287,5.1049,0,0,0,0,0,0,0,0,0,0,0,0,2.1543,2.6321
3216,32,138.58,234.44,2,2,2,0.071006,0.5757,0.28994,2.2689,6.132,13.897,1.8777,5.6331,1.2518,0,0,0,0,0,0,0,0,0,0,0,0,2.7257,2.7897
3217,32,30,106.54,1,1,1,0.90366,0.34612,0.09503,9.8813,3.3116,0.31626,5.4871,6.271,18.029,0,0,0,0,0,0,0,0,0,0,0,0,5.3336,5.4504
3217,32,151.72,248.49,2,2,2,0.046207,0.88655,0.12827,2.2356,12.255,2.4825,1.2401,4.3405,3.1003,0,0,0,0,0,0,0,0,0,0,0,0,3.0744,3.0395
3217,32,262.63,290.59,3,3,3,0.084717,0.12649,0,2.3688,3.5369,0,2.1458,2.1458,0,0,0,0,0,0,0,0,0,0,0,0,0,3.164,3.0687
3218,32,30,121.76,1,1,1,0.46654,0.026182,0.15964,10.702,0.6006,1.2207,2.6156,2.6156,7.8467,0.24327,0.16509,0.26545,0,1.4882,1.5148,1.8737,0,9.8084,6.5389,8.5006,0,2.1963,2.2949
3218,32,138.27,293.6,2,2,2,0.065521,0.25435,0.00085929,2.5442,2.8219,0.13347,1.5452,5.4081,0.38629,0.076047,0.258,0.099892,0.021267,3.9373,3.3394,3.8789,1.6517,1.1589,4.6355,1.5452,0.77259,1.7795,1.8438
3218,32,336.97,438.34,3,3,3,0.16129,0,0.45622,8.1748,0,3.8539,1.1838,0,7.1028,0.067808,0.021396,0.51844,0.13265,1.1456,1.0844,3.7538,1.6808,3.5514,1.1838,8.2866,4.7352,1.4755,1.4612
3218,32,449.42,540.51,4,4,4,0.16777,0.4575,0.0098901,3.0564,2.3153,0.9009,3.2934,11.856,0.65868,0.25897,0.40806,0.055307,0.10696,4.718,4.6463,1.6793,1.6238,3.2934,5.2695,1.976,3.9521,1.4761,1.4196
3219,32,30,125.86,1,1,1,0.28576,0.033066,0.24191,5.4788,1.0566,0.38016,3.1295,1.8777,38.18,0,0,0,0,0,0,0,0,0,0,0,0,3.4487,3.762
3219,32,147.45,243.75,2,2,2,0.56965,0.097019,0.28413,6.095,4.6713,4.5601,5.6077,1.2462,3.7385,0,0,0,0,0,0,0,0,0,0,0,0,2.4047,2.218
3219,32,259.43,375.81,3,3,3,0.97907,0.031537,0,8.7652,1.2234,0,6.702,1.5466,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6996,3.7263
3219,32,388.73,477.98,4,4,4,0.25944,0.0026168,0.46953,1.654,0.23357,5.9869,9.4111,0.67222,4.7056,0,0,0,0,0,0,0,0,0,0,0,0,2.3711,2.2257
3220,32,30,131.17,1,1,1,0.8056,0.1341,0.21054,9.0556,1.9381,1.1833,5.3377,4.1516,10.675,0.11697,0.15354,0.40494,0.12619,0.98611,1.1949,2.4098,1.1606,7.117,7.71,10.082,6.5239,2.4184,2.5725
3220,32,197.33,287.53,2,2,2,0.37103,0.31707,0.080192,3.3467,14.3,2.4111,6.6519,1.3304,1.9956,0.38877,0.18736,0.050998,0.097931,2.6974,1.8778,1.15,1.4722,8.6475,5.9867,2.6608,3.9911,2.0448,1.9186
3220,32,317.67,410.87,3,3,3,0.22496,0.12625,0.56903,1.6128,1.681,4.4194,8.3691,4.5064,7.7253,0.14878,0.22389,0.23569,0.15272,1.5407,0.77284,1.046,0.83725,5.794,17.382,13.519,10.944,2.2463,2.4017
3220,32,418.67,472.67,4,4,4,0,0.50432,0.41914,0,3.0259,3.7722,0,10,6.6667,0.035185,0.16914,0.13951,0.13519,0.95,1.3048,0.94167,0.9125,2.2222,7.7778,8.8889,8.8889,1.7378,1.7895
