#less(on1;_on2;_2),cevent_eye_roi_child,,,,,
#subid,onset,offset,cat,index,trialid
7108,92.8,95.9,3,28,1
7108,95.9,98.3,2,29,1
7108,98.4,102.2,4,30,1
7108,105.87,106.77,1,32,1
7108,106.83,107.67,2,33,1
7108,107.7,110.67,1,34,1
7108,111.8,112.2,2,36,1
7108,112.47,115.93,2,38,1
7108,116.4,116.7,1,39,1
7108,116.73,120.77,4,40,1
7108,122.73,124.43,1,41,1
7108,135.37,137.5,2,42,2
7108,139.97,145.5,2,43,2
7108,149,155.5,3,48,2
7108,155.6,156.3,1,49,2
7108,156.3,158.67,2,50,2
7108,158.67,159.3,1,51,2
7108,159.43,159.57,1,52,2
7108,159.7,161.03,3,53,2
7108,161.1,161.73,4,54,2
7108,161.8,163.07,3,55,2
7108,163.27,164.2,1,56,2
7108,169.17,169.97,3,57,2
7108,170.33,171.83,3,58,2
7108,171.97,172.7,1,59,2
7108,172.77,176.7,3,60,2
7108,176.7,177.07,4,61,2
7108,177.1,178,3,62,2
7108,183.23,186.7,2,64,2
7108,186.7,190.1,4,65,2
7108,190.1,191.5,2,66,2
7108,191.57,192.5,3,67,2
7108,198.2,199.97,4,69,2
7108,204.47,206.83,1,70,2
7108,209.1,212.57,3,72,2
7108,214.83,216.27,4,74,2
7108,216.33,217.6,3,75,2
7108,217.73,220.3,2,76,2
7108,231.67,232.4,3,78,2
7108,232.43,232.97,2,79,2
7108,233.1,233.2,1,80,2
7108,247.03,247.47,1,81,3
7108,247.47,249.37,2,82,3
7108,249.37,250.57,1,83,3
7108,250.6,251.87,2,84,3
7108,252.93,255.53,3,85,3
7108,262.37,266.67,3,86,3
7108,268.3,272.37,1,88,3
7108,272.63,273.63,2,89,3
7108,273.63,275.53,3,90,3
7108,276.7,281.9,4,91,3
7108,281.97,284.37,3,92,3
7108,284.37,284.53,1,93,3
7108,288.23,288.9,2,96,3
7108,289,289.67,1,97,3
7108,293.13,297,4,99,3
7108,297.07,298.2,1,100,3
7108,298.23,298.9,2,101,3
7108,299.8,301.73,4,102,3
7108,301.8,303.97,1,103,3
7108,304.93,305.83,1,104,3
7108,305.9,306,2,105,3
7108,306.1,308.23,2,106,3
7108,308.33,310.93,3,107,3
7108,310.93,311.27,1,108,3
7108,311.3,312.03,2,109,3
7108,312.13,313.1,3,110,3
7108,315.53,318.2,4,111,3
7108,318.5,320.13,3,112,3
7108,326.23,328.7,3,114,3
7108,328.87,330.57,4,115,3
7108,348.33,349,4,118,4
7108,349.03,350.13,2,119,4
7108,355.67,357.07,2,120,4
7108,357.13,359.83,3,121,4
7108,360.03,360.17,3,122,4
7108,360.17,360.43,1,123,4
7108,361.53,362.93,4,124,4
7108,363,363.83,3,125,4
7108,363.9,365.7,1,126,4
7108,366.13,366.53,1,128,4
7108,366.63,366.83,3,129,4
7108,366.83,368.27,2,130,4
7108,372.2,373.33,2,131,4
7108,373.33,375.73,1,132,4
7108,376.53,376.8,1,133,4
7108,377.4,377.83,2,134,4
7108,377.93,378.7,1,135,4
7108,378.7,380.27,2,136,4
7108,380.67,381,3,138,4
7108,381,381.23,1,139,4
7108,381.27,382.2,3,140,4
7108,382.73,383.03,4,141,4
7108,383.13,385.5,4,142,4
7108,386.23,386.93,1,143,4
7108,388.9,393.63,4,144,4
7108,394.33,395.1,2,145,4
7108,397.4,397.93,2,146,4
7108,413,414,2,147,4
7108,414.07,421.07,4,148,4
7108,421.13,421.43,1,149,4
7108,421.53,423.7,2,150,4
7108,430.47,432.9,2,153,4
7108,432.93,433,1,154,4
7108,433,433.17,3,155,4
7108,433.3,436.13,3,156,4
7108,437.2,437.7,4,157,4
